project_id,model_id,experiment_id,time_bounds,ensemble_member,variable,season,mask,mean,height_correction,model_member,RCM,GCM,Domain
EURO-CORDEX,CNRM-ALADIN63_CNRM-CERFACS-CNRM-CM5_EUR-11,rcp26,2070-01-01 to 2099-12-31,r1i1p1,snw,SON,deutschland,0.09401677,False,CNRM-ALADIN63_CNRM-CERFACS-CNRM-CM5_EUR-11_r1i1p1,CNRM-ALADIN63,CNRM-CERFACS-CNRM-CM5,EUR-11
EURO-CORDEX,CNRM-ALADIN63_CNRM-CERFACS-CNRM-CM5_EUR-11,rcp26,2070-01-01 to 2099-12-31,r1i1p1,rsds,ANN,deutschland,148.4552,False,CNRM-ALADIN63_CNRM-CERFACS-CNRM-CM5_EUR-11_r1i1p1,CNRM-ALADIN63,CNRM-CERFACS-CNRM-CM5,EUR-11
EURO-CORDEX,CNRM-ALADIN63_CNRM-CERFACS-CNRM-CM5_EUR-11,rcp26,2070-01-01 to 2099-12-31,r1i1p1,rsds,DJF,deutschland,52.80468,False,CNRM-ALADIN63_CNRM-CERFACS-CNRM-CM5_EUR-11_r1i1p1,CNRM-ALADIN63,CNRM-CERFACS-CNRM-CM5,EUR-11
EURO-CORDEX,CNRM-ALADIN63_CNRM-CERFACS-CNRM-CM5_EUR-11,rcp26,2070-01-01 to 2099-12-31,r1i1p1,rsds,MAM,deutschland,190.5199,False,CNRM-ALADIN63_CNRM-CERFACS-CNRM-CM5_EUR-11_r1i1p1,CNRM-ALADIN63,CNRM-CERFACS-CNRM-CM5,EUR-11
EURO-CORDEX,CNRM-ALADIN63_CNRM-CERFACS-CNRM-CM5_EUR-11,rcp26,2070-01-01 to 2099-12-31,r1i1p1,rsds,JJA,deutschland,245.8915,False,CNRM-ALADIN63_CNRM-CERFACS-CNRM-CM5_EUR-11_r1i1p1,CNRM-ALADIN63,CNRM-CERFACS-CNRM-CM5,EUR-11
EURO-CORDEX,CNRM-ALADIN63_CNRM-CERFACS-CNRM-CM5_EUR-11,rcp26,2070-01-01 to 2099-12-31,r1i1p1,rsds,SON,deutschland,102.2591,False,CNRM-ALADIN63_CNRM-CERFACS-CNRM-CM5_EUR-11_r1i1p1,CNRM-ALADIN63,CNRM-CERFACS-CNRM-CM5,EUR-11
EURO-CORDEX,CNRM-ALADIN63_CNRM-CERFACS-CNRM-CM5_EUR-11,rcp26,2070-01-01 to 2099-12-31,r1i1p1,pr,ANN,deutschland,3.197919e-05,False,CNRM-ALADIN63_CNRM-CERFACS-CNRM-CM5_EUR-11_r1i1p1,CNRM-ALADIN63,CNRM-CERFACS-CNRM-CM5,EUR-11
EURO-CORDEX,CNRM-ALADIN63_CNRM-CERFACS-CNRM-CM5_EUR-11,rcp26,2070-01-01 to 2099-12-31,r1i1p1,pr,DJF,deutschland,2.938421e-05,False,CNRM-ALADIN63_CNRM-CERFACS-CNRM-CM5_EUR-11_r1i1p1,CNRM-ALADIN63,CNRM-CERFACS-CNRM-CM5,EUR-11
EURO-CORDEX,CNRM-ALADIN63_CNRM-CERFACS-CNRM-CM5_EUR-11,rcp26,2070-01-01 to 2099-12-31,r1i1p1,pr,MAM,deutschland,3.016962e-05,False,CNRM-ALADIN63_CNRM-CERFACS-CNRM-CM5_EUR-11_r1i1p1,CNRM-ALADIN63,CNRM-CERFACS-CNRM-CM5,EUR-11
EURO-CORDEX,CNRM-ALADIN63_CNRM-CERFACS-CNRM-CM5_EUR-11,rcp26,2070-01-01 to 2099-12-31,r1i1p1,pr,JJA,deutschland,3.869737e-05,False,CNRM-ALADIN63_CNRM-CERFACS-CNRM-CM5_EUR-11_r1i1p1,CNRM-ALADIN63,CNRM-CERFACS-CNRM-CM5,EUR-11
